Country,Region,Population,Area (sq. mi.),Net migration,GDP ($ per capita),Literacy (%)
Saint Vincent and the Grenadines ,LATIN AMER. & CARIB    ,117848,389,"-7,64",2900,"96,0"
Samoa ,OCEANIA                            ,176908,2944,"-11,7",5600,"99,7"
San Marino ,WESTERN EUROPE                     ,29251,61,"10,98",34600,"96,0"
Sao Tome & Principe ,SUB-SAHARAN AFRICA                 ,193413,1001,"-2,72",1200,"79,3"
Saudi Arabia ,NEAR EAST                          ,27019731,1960582,"-2,71",11800,"78,8"
Senegal ,SUB-SAHARAN AFRICA                 ,11987121,196190,"0,2",1600,"40,2"
Serbia ,EASTERN EUROPE                     ,9396411,88361,"-1,33",2200,"93,0"
Seychelles ,SUB-SAHARAN AFRICA                 ,81541,455,"-5,69",7800,"58,0"
Sierra Leone ,SUB-SAHARAN AFRICA                 ,6005250,71740,0,500,"31,4"
Singapore ,ASIA (EX. NEAR EAST)         ,4492150,693,"11,53",23700,"92,5"
Slovakia ,EASTERN EUROPE                     ,5439448,48845,"0,3",13300,
Slovenia ,EASTERN EUROPE                     ,2010347,20273,"1,12",19000,"99,7"
Solomon Islands ,OCEANIA                            ,552438,28450,0,1700,
Somalia ,SUB-SAHARAN AFRICA                 ,8863338,637657,"5,37",500,"37,8"
South Africa ,SUB-SAHARAN AFRICA                 ,44187637,1219912,"-0,29",10700,"86,4"
Spain ,WESTERN EUROPE                     ,40397842,504782,"0,99",22000,"97,9"
Sri Lanka ,ASIA (EX. NEAR EAST)         ,20222240,65610,"-1,31",3700,"92,3"
Sudan ,SUB-SAHARAN AFRICA                 ,41236378,2505810,"-0,02",1900,"61,1"
Suriname ,LATIN AMER. & CARIB    ,439117,163270,"-8,81",4000,"93,0"
Swaziland ,SUB-SAHARAN AFRICA                 ,1136334,17363,0,4900,"81,6"
Sweden ,WESTERN EUROPE                     ,9016596,449964,"1,67",26800,"99,0"
Switzerland ,WESTERN EUROPE                     ,7523934,41290,"4,05",32700,"99,0"
Syria ,NEAR EAST                          ,18881361,185180,0,3300,"76,9"
Taiwan ,ASIA (EX. NEAR EAST)         ,23036087,35980,0,23400,"96,1"
Tajikistan ,C.W. OF IND. STATES ,7320815,143100,"-2,86",1000,"99,4"
